	word	correct	n1	suggest
0	***********\n		0.0	
1	يسري		0.0	
2	الغول		0.0	
3	\n		0.0	
4	منشور		0.0	
5	فيسبوك		0.0	
6	\n		0.0	
7	أجلس		0.0	
8	في		0.0	
9	حديقة		0.0	
10	منزلي		0.0	
11	،		0.0	
12	أحتسي		0.0	
13	القهوة		0.0	
14	،		0.0	
15	أستمع		0.0	
16	لفيروز		0.0	
17	والعصافير		0.0	
18	فوق		0.0	
19	رأسي		0.0	
20	تغني		0.0	
21	مع		0.0	
22	اللحن		0.0	
23	.		0.0	
24	تعود		0.0	
25	بي		0.0	
26	الذاكرة		0.0	
27	إلى		0.0	
28	مخيمات		0.0	
29	الشباب		0.0	
30	والرياضة		0.0	
31	عام		0.0	
32	1997		0.0	
33	وصولاً		0.0	
34	إلى		0.0	
35	2001		0.0	
36	حيث		0.0	
37	معسكر		0.0	
38	الشباب		0.0	
39	الدائم		0.0	
40	على		0.0	
41	الحدود		0.0	
42	الشمالية		0.0	
43	،		0.0	
44	حين		0.0	
45	كنا		0.0	
46	نعيش		0.0	
47	في		0.0	
48	مخيمات		0.0	
49	شبابية		0.0	
50	مغلقة		0.0	
51	،		0.0	
52	منها		0.0	
53	ما		0.0	
54	هو		0.0	
55	محلي		0.0	
56	وعربي		0.0	
57	ودولي		0.0	
58	.\n		0.0	
59	هناك		0.0	
60	كانت		0.0	
61	صناعة		0.0	
62	القيادة		0.0	
63	الحقيقية		0.0	
64	عبر		0.0	
65	طاقم		0.0	
66	حقيقي		0.0	
67	ومؤثر		0.0	
68	في		0.0	
69	تلك		0.0	
70	الوزارة		0.0	
71	بقيادة		0.0	
72	وكيل		0.0	
73	الوزارة		0.0	
74	أحمد		0.0	
75	اليازجي		1.0	انجيالي
76	(		0.0	
77	أبو		0.0	
78	همام		0.0	
79	)،		0.0	
80	وبإشراف		0.0	
81	مدراء		0.0	
82	أحببناهم		0.0	
83	كثيراً		0.0	
84	،		0.0	
85	محمد		0.0	
86	فايز		15.0	فاير;فأير;قايظ;فزيا;فاي;فاز;فيز;فزاي;يفاز;ففيز;فاغز;فاعز;فاخز;فحيز;فاجز
87	الفرا		15.0	الفار;ارفلا;الغرا;الفرغ;الفرى;الفر;لفرا;الفراض;الفراق;الفراغ;الفراع;الفراه;الفراخ;الفراد;الفراط
88	،		0.0	
89	وكمال		0.0	
90	راضي		0.0	
91	،		0.0	
92	وبمتابعة		0.0	
93	الصديق		0.0	
94	عرفات		0.0	
95	أبو		0.0	
96	غالي		0.0	
97	،		0.0	
98	وأبو		0.0	
99	سماحة		0.0	
100	في		0.0	
101	الكشافة		0.0	
102	،		0.0	
103	وآخرين		0.0	
104	غابت		0.0	
105	أسماؤهم		0.0	
106	مع		0.0	
107	الزمن		0.0	
108	.\n		0.0	
109	كنا		0.0	
110	نستيقظ		0.0	
111	على		0.0	
112	صوت		0.0	
113	فيروز		0.0	
114	،		0.0	
115	ثم		0.0	
116	تبدأ		0.0	
117	دورة		0.0	
118	الحياة		0.0	
119	،		0.0	
120	تتكفل		0.0	
121	كل		0.0	
122	مجمعة		0.0	
123	بمهام		0.0	
124	يومية		0.0	
125	،		0.0	
126	ثم		0.0	
127	ننتقل		0.0	
128	لمربع		0.0	
129	صناعة		0.0	
130	القادة		0.0	
131	من		0.0	
132	خلال		0.0	
133	ورشات		0.0	
134	عمل		0.0	
135	وندوات		0.0	
136	مع		0.0	
137	شخصيات		0.0	
138	تحمل		0.0	
139	رؤى		0.0	
140	ومواقف		0.0	
141	مختلفة		0.0	
142	.\n		0.0	
143	نجحت		0.0	
144	تلك		0.0	
145	المخيمات		0.0	
146	بصناعة		0.0	
147	أشخاص		0.0	
148	مؤثرين		0.0	
149	في		0.0	
150	مجالات		0.0	
151	شتى		0.0	
152	.		0.0	
153	ونجحت		0.0	
154	بصقل		0.0	
155	شخصياتنا		0.0	
156	بشكل		0.0	
157	جيد		0.0	
158	رغم		0.0	
159	الاختلافات		0.0	
160	الأيديولوجية		0.0	
161	بين		0.0	
162	المشاركين		0.0	
163	.\n		0.0	
164	أيام		0.0	
165	ليتها		0.0	
166	تعود		0.0	
167	.\n		0.0	
168	***********\n		0.0	
169	جلال		0.0	
170	شفرور		15.0	فشرور;شرور;فرور;ففرور;شعرور;شفروه;شحرور;شفروك;كفرور;شفروا;لفرور;بفرور;وفرور;أفرور;ش فرور
171	\n		0.0	
